estate_name,long,lat,avg_price
金地檀溪,123.525572,41.75704,12713
名流印象四期,123.472181,41.737862,10185
万科金域蓝湾,123.496167,41.754263,15074
华发首府,123.466295,41.739318,13025
金地澜菲溪岸三期,114.216395,30.518133,25144
招商公园1872四期璟园,114.229536,30.540188,18987
SR国际新城,123.45908744974,41.738131477795,8625
欣隆壹号公馆,114.227557,30.528064,14116
招商公园1872三期尚府,114.228309,30.537871,17054
万科新榆公馆,123.439042,41.721186,9094
万科明天广场,123.465537,41.729254,12748
金色港湾五期,114.184195,30.521088,17861
沿海赛洛城一期,123.466728,41.736552,9221
绿地中央广场三期,114.222952,30.52099,33366
青澳都市尚巢,114.193962,30.53698,14780
首创国际城,123.452151,41.738941,10564
观澜御苑,114.190967,30.512486,17881
泰盈七里香堤,123.600685,41.933727,3078
龙湖滟澜山,123.60692,41.950978,6112
华皓英伦联邦,117.151336,36.650866,21273
华创观礼中心,117.1365,36.662477,18716
重汽1956,117.155324,36.66245,23039
海信龙奥九号,117.144281,36.660805,14132
德润天玺,117.16208,36.66109,21416
东荷苑,117.142227,36.655574,27981
高新绿城玉蘭花园,117.149719,36.65142,24416
玺园,117.13738384036,36.655561464489,29131
鲁邦奥林逸城,117.160355,36.663558,21484
舜奥华府南区,117.15080844264,36.657942529863,26427
涵玉翠岭,117.16031475002,36.650835046019,21285
中海奥龙觀邸,117.13903465019,36.657614492767,24700
舜奥华府,117.152068,36.660909,26571
中铁逸都国际,117.16945,36.655082,18911
新泺大街3003号,117.128698,36.679144,14947
智慧园小区,117.145515,36.678574,14623
中海天悦府,117.150042,36.68006,23257
万科麓山,117.137192,36.667965,26698
中垠雅苑,117.132328,36.684268,24006
万科金域国际,117.138274,36.667931,24011
黄金时代,117.137171,36.675538,20642
国华印象,117.154171,36.67849,25671
龙园,117.15598729359,36.675146821247,20222
雅居园小区,117.132211,36.67886,23747
山钢新天地,117.123129,36.687199,23728
丰奥嘉园南区,117.11521368882,36.693536577639,20646
中铁汇苑,117.12594102432,36.681875625847,25622
丰奥嘉园北区,117.11495336606,36.696085377144,20108
康桥颐东,117.126049,36.677286,23622
理想新城,117.144989,36.694408,11582
小鸭集团宿舍,117.14260284272,36.698022302245,18276
水晶东座,117.142497,36.700427,17098
米兰小镇西区,114.201124,30.532691,15983
兴华御水澜湾,114.243099,30.533866,15335
星光国际,114.225776,30.530604,16723
中环湖畔,114.193309,30.531638,12219
御亭水岸花园,120.459044,31.42505,13205
鹤溪佳苑,120.458506,31.423937,12426
紫薇花园,120.459553,31.430339,10724
望馨花苑,120.453444,31.42988,12079
嘉元路1069号附院,120.628698,31.375584,14500
亿象新天地,120.616163,31.386015,10739
领寓商务广场,120.645757,31.426139,9310
高铁新城圆融广场,120.643975,31.427353,21821
建发中泱天成,120.655338,31.4171,24245
金科观天下,120.656546,31.42072,26305
名莲别墅,120.612007,31.509154,18000
东渡湖韵青城花园,120.611725,31.499035,15725
漕湖之星,120.630271,31.499167,7993
北苑馨居,120.606758,31.517661,13421
盛北花园六期,120.608758,31.52176,7692
盛北花园,120.608388,31.518638,7135
漕韵家园,120.613555,31.502027,13419
天宇佳缘,120.608402,31.516954,11765
德诚嘉元广场,120.641874,31.378533,11593
国际服装城B区,120.637492,31.3827,14070
静湖别墅,120.659286,31.372458,31307
紫金湾,120.654029,31.368328,29735
国际服装城梅竹坊,120.6347,31.383789,14956
天伦小区,120.625294,31.378597,15818
国际服装城拾英坊,120.63523,31.383142,13310
金磐金花园,120.647977,31.362285,22400
合景峰汇商务广场,120.615915,31.370416,10526
智海商务广场,120.61659,31.368011,10667
万家邻里中心,120.608136,31.367456,13560
绿地海域乾唐墅,120.621899,31.371021,28854
繁花中心,120.613813,31.367502,13033
御苑家园A区,120.606605,31.365514,16181
玉成家园二期,120.615418,31.391146,14999
合景峰汇七期,120.609477,31.371676,23945
恒基花漾LOFT,120.613018,31.376744,16087
中翔丽晶,120.644464,31.382775,7454
国际服装城兰菊坊,120.636299,31.382321,14216
中锐琅石名筑,120.637022,31.374009,24206
古巷二村西区,120.63982102183,31.367262419205,13177
江南村,120.662537,31.374058,28828
古巷二村东区,120.64182179195,31.366010281094,17101
绿色时光花园东区,120.638122,31.385588,16288
银丽高尔夫,120.665242,31.371145,33356
消防小区,120.643844,31.365833,21749
登云家园,120.651336,31.41077,15001
庆元家园,120.63241289456,31.391905754693,13672
中翔商贸城二区,120.646368,31.365987,12106
天鹅湖庄园,120.656749,31.37742,22484
新尚商业广场,120.647541,31.363061,11253
正源悦庭,120.651628,31.406128,19437
中粮祥云国际,120.632486,31.390066,16500
三江尊园,120.652616,31.371795,32583
中翔商贸城三区,120.646909,31.366867,13352
中环百汇商业广场,120.632991,31.370012,8750
绿色时光花园西区,120.635732,31.385522,12626
漕湖花园六区,120.625652,31.472134,10976
漕湖花园三区,120.621573,31.468338,14246
尚青景苑,120.592169,31.464065,12993
漕湖花园四区,120.619489,31.469748,14138
鑫之苑,120.641571,31.428208,21935
合景峰汇八期,120.618344,31.372008,23450
合景峰汇二期,120.609753,31.369545,23251
合景峰汇六期,120.607429,31.371761,21892
康桥溪岸花园,120.614272,31.39514,22524
合景峰汇三期,120.611199,31.371364,23567
合景峰汇一期,120.611512,31.370185,23731
姑苏裕沁庭,120.60638,31.392115,25309
合景峰汇五期,120.607259,31.369958,23622
华润城立方,120.607741,31.384196,23799
玉成家园,120.617735,31.388235,17186
合景峰汇九期,120.61663,31.370709,24268
金御华府,120.614387,31.391735,22353
御窑花园,120.617712,31.365359,15247
华辰嘉园南区,120.601295,31.369464,22213
西湖君庭,120.613463,31.389888,22107
华润橡树湾3期,120.608513,31.38321,19585
华辰嘉园北区,120.603168,31.372254,21528
合景峰汇四期,120.605545,31.371819,23521
合景峰汇十一期,120.612902,31.370217,16112
御苑家园B、C区,120.602644,31.365992,15968
水韵花都家园二期,120.608431,31.378602,21101
招商依云华苑,120.60303,31.39494,21172
水韵花都家园,120.606153,31.378713,21939
首开班芙春天花园,120.610894,31.385237,19373
恒基水漾花城,120.619667,31.38133,20710
金辉融侨城,120.611244,31.367895,23504
橡树湾花园,120.614804,31.386418,18523
万科北宸之光,120.616092,31.397774,22083
芙蓉新村,120.626566,31.402723,14882
合景峰汇十期,120.612219,31.371761,12115
万客隆商城,120.635652,31.396608,9434
华园丽都阳光,120.447811,31.426744,13182
金色港湾四期,114.18665789907,30.526255112969,15723
御水华城,114.241961,30.536969,15264
翰林苑小区,114.199466,30.532898,13487
御亭花苑,120.463035,31.425445,12281
海伦春天二期,114.191447,30.537879,16058
海伦春天一期,114.192614,30.53819,16926
和昌森林湖,114.210621,30.541059,18518
中铁世纪金桥,114.234251,30.523231,16357
名流印象,114.247946,30.532144,15351
和昌都汇华府,114.221192,30.520863,16996
观澜高尔夫公馆,114.201666,30.513989,16445
嘎纳印象,114.188809,30.527529,16238
开来都市丰景,114.20582,30.528171,15809
太子湖1号,114.18931730447,30.52397313848,17184
广电兰亭盛荟,114.243913,30.521135,18689
新城璟悦城,114.20993,30.524604,15932
新城春天里,114.24953937879,30.535114632528,15824
观澜国际,114.227625,30.531947,16644
